ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,is_weekend,gender_102,gender_103,gender_104,gender_105,gender_106,gender_107,gender_108,gender_109,gender_11,gender_110,gender_111,gender_112,gender_113,gender_114,gender_115,gender_116,gender_117,gender_118,gender_12,gender_13,gender_14,gender_15,gender_16,gender_17,gender_18,gender_19,gender_20,gender_21,gender_22,gender_23,gender_24,gender_25,gender_26,gender_27,gender_28,gender_29,gender_30,gender_31,gender_32,gender_33,gender_34,gender_35,gender_36,gender_37,gender_38,gender_4,gender_41,gender_5,gender_6,gender_64,gender_65,gender_66,gender_67,gender_68,gender_69,gender_70,gender_71,gender_72,gender_8,gender_9,gender_F,gender_M,age_100,age_101,age_102,age_103,age_104,age_105,age_106,age_107,age_108,age_109,age_110,age_111,age_112,age_113,age_114,age_15,age_16,age_18,age_19,age_2,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_30-34,age_31,age_32,age_35-39,age_36,age_40-44,age_45-49,age_63,age_64,age_65,age_66,age_7,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
709455,2017-08-18,18/08/2017,916,104034,7,12,10,0.0001826702896978586,0.0,0.0,0.016666666666666666,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
709544,2017-08-18,18/08/2017,916,104049,29,33,32,0.0024372563301877344,0.0058823529411764705,0.004656613841468187,0.016666666666666666,0.047619047619047616,0.000268817204301,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
709614,2017-08-19,19/08/2017,916,104061,16,19,20,0.006261959549289366,0.011764705882352941,0.008625674062643612,0.016666666666666666,0.0,0.000209281640768,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
709756,2017-08-19,19/08/2017,916,104085,16,21,21,0.003595840291700916,0.0058823529411764705,0.0026408314118565195,0.016666666666666666,0.047619047619047616,0.0001822157434402,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
709761,2017-08-18,18/08/2017,916,104085,16,19,20,0.000936929418488397,0.0,0.0,0.016666666666666666,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
709899,2017-08-18,18/08/2017,916,104108,15,18,20,0.0004575718574890235,0.0,0.0,0.016666666666666666,0.047619047619047616,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
709901,2017-08-18,18/08/2017,916,104109,16,18,20,0.007803243190397399,0.020588235294117647,0.01323540928689316,0.016666666666666666,0.047619047619047616,0.0002939077129781,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
710045,2017-08-17,17/08/2017,916,104133,16,22,17,0.015472636512552105,0.03529411764705882,0.024720681642267824,0.016666666666666666,0.0,0.0002541080806369,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
710088,2017-08-17,17/08/2017,916,104140,24,26,27,0.0007475455017025885,0.0029411764705882353,0.002297054509515436,0.016666666666666666,0.0,0.0004380201489268,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
710360,2017-08-17,17/08/2017,916,104185,21,26,24,0.0007144524643403624,0.0029411764705882353,0.0023908117439527185,0.016666666666666666,0.047619047619047616,0.0004582951420714,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
